	DATE	31/08/2007	07/09/2007	28/09/2007	11/10/2007	22/10/2007	31/10/2007	14/11/2007	23/11/2007	23/11/2007	1/12/2007	1/16/2008	1/24/2008	2/5/2008	13/02/2008	3/5/2008	14/03/2008	3/26/2008
 CODE	SPECIES NAME/Period	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
ALFL	Aldler Flycatcher	-	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-	-
AMRE	American Red Start	-	-	Ob	-	Oe	-	-	-	-	-	-	Ob	Ob	-	-	-	-
ASTK	American Swift Tailed Kite	-	-	-	-	-	-	-	-	-	-	-	Oe	Oe	Oo	-	-	Oo
BAOR	Baltimore Oriole	-	-	-	-	-	Oe	Oe	Oe	-	Ps	-	Oe	Oe	Ps	Ps	-	-
BANA	Bananaquit	Ob	-	Ob	Oe	-	Ps	-	-	-	-	-	-	-	-	-	-	Oe
BAAN	Barred Antshrike	-	-	-	-	-	-	Ps	-	-	-	-	-	-	-	-	-	-
BFFA	Barred Forest Falcon	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-	-
BHTA	Bay Headed Tanager	Oe	-	-	Ob	Oe	-	-	Ob	Oe	Ob	Oe	-	Oe	-	-	-	-
BWWA	Black & White Warbler	-	-	Ob	-	-	-	Ob	-	-	-	-	-	-	Ob	Oe	-	-
BCTI	Black Capped Tityra	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BFSO	Black Faced Soltarie	-	-	-	-	Ob	-	-	-	Ob	Ob	Ob	-	-	-	Ob	-	-
BHBF	Black headed Brush Finsch	Ob	Ob	-	Ob	-	-	Oe	-	-	-	-	Ob	-	-	-	-	-
BSSP	Black Striped Sparrow	-	-	-	-	Oe	-	-	-	-	-	Ob	Ob	Ps	Ps	Ob	Ps	Ps
BTFL	Black Tailed Flycatcher	-	-	Ob	Ob	-	-	-	-	-	-	-	-	-	-	-	Ob	-
BLVU	Black Vulture	-	Oo	Oo	-	Oe	Oo	Oe	Oo	Oo	-	Oo	Oo	Oo	Oo	Oo	Oo	Oo
BBGQ	Blue Black Grassquit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BBGR	Blue Black Grossbeak	-	-	Ps	-	Oe	-	-	-	-	-	-	-	-	-	-	-	-
BCMA	Blue Crowned Manakin	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-
BCMO	Blue Crowned Motmot	Oe	Oe	Ps	Ct	-	Ps	-	-	Oe	Ps	-	Ps	-	-	-	-	Ob
BGTA	Blue Gray Tanager	Oe	Oe	Oe	Oe	Oe	Ps	Oe	Oe	Ps	-	Ob	Oe	Ob	Oe	Oe	Oe	Ob
BTGO	Blue Throated Golden Tail	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-
BRAT	Brigth Rumped Attilia	-	-	-	Ps	Oe	-	Ob	-	-	-	Pb	-	Ps	-	-	Ps	Ob
BWHA	Broad Wing Hawk	-	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-	-	-
BRCO	Bronzed Cowbird	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BHPA	Brown headed Parrot	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ps	-
BRJA	Brown Jay	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Oe	Ps
BVEA	Brown Violet Ear	-	-	-	-	-	-	-	-	-	-	-	-	Ps	Ps	Ps	Ob	Ps
BRWA	Buff Rumped Warbler	Ob	Ob	Oe	Ps	Ob	Ob	-	Oe	-	Ob	-	Ps	Ob	Oe	-	Ob	Oe
BTSA	Buff Throated Saltator	Ob	Ps	Ob	Ps	Ob	Ob	Ob	Ps	Ps	-	Ob	Ps	Ob	Ob	Ob	Ob	Ob
CAWA	Canada Warbler	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CAEG	Cattle Eagret	-	-	-	-	Oe	-	Oo	-	-	Ps	-	-	-	Oo	-	-	-
CSWA	Chesnut Sided Warbler	-	-	-	Ob	Ob	-	Oe	Oe	Oe	-	Oe	Oe	Oe	Oo	Ob	-	-
CCRO	Clay Colored Robin	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ps	Ob	Oe	Ob	Oe	Ob	Ob	Ps	Ps
COPA	Common Pauraque	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CTFL	Common toddy Flycatcher	-	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-	-	Oe
COHA	Coopers Hawk	-	-	-	Ps	-	Oe	-	-	-	-	-	-	-	-	-	-	-
CRCA	Crested Caracara	-	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-	-	-
CFPA	Crimsson Fronted Parrot	-	-	Ps	Oo	-	Ps	Ps	-	-	-	Ps	Ps	Ps	Oo	-	-	-
DTKI	Double Toothed Kite	-	-	-	-	-	-	-	-	-	-	-	-	Oe	Oe	-	-	Oe
DCFL	Dusky Capped Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	Oe	-	-	Ob	-
FATH	Fasciated Tiger Heron	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FBAR	Fiery Billed Aracari	Ps	Ps	-	Ps	-	Ps	-	-	Ps	Ps	Ps	-	-	Ps	Oe	Ps	-
GOHT	Golden Hooded Tanager	Ob	Ps	Ps	Oe	Ps	Ps	Oe	Ps	Ps	Ps	Ps	Ps	Ps	Oe	Oe	Ps	Ps
GWWA	Golden Winged Warbler	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCDO	Gray chested Dove	-	Oe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GHCH	Gray Headed Chachalaca	Oe	Oe	-	-	-	-	-	-	-	-	Oe	-	-	Oe	-	-	Ps
GNWR	Gray Necked Wood Rail	Ps	Ps	Oe	Oe	Oe	Oe	Ps	Ps	Oe	Ps	Oe	Oe	Ps	Oe	Ps	Ps	Oe
GRKI	Great kiskadee	Ps	Ps	Ps	Ps	-	-	-	Ps	-	Ps	-	-	Oe	Ps	-	Ps	Ps
GFLA	Green Fronted Lancebill	-	-	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-
GRHE	Green Hermit	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-
GRHO	Green Honeycreeper	-	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-	-	-
GVEA	Green Violet Ear	-	-	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-
GREL	Greenish Elania	-	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-	-
GHTA	Grey Headed Tanager	Ob	Ob	-	Ob	Ps	Oe	Oe	-	-	Ps	-	Ob	-	Ob	Ob	-	Ob
HOWR	House Wren	-	-	-	-	-	-	-	Ps	Ps	-	Ps	-	-	Ps	-	-	Ps
KEWA	Kentucky Warbler	-	-	Ob	-	Ob	-	-	-	-	-	Ob	Ob	-	-	-	-	-
LAFA	Laughing Falcon	Ps	-	-	-	Ps	Ps	-	Ps	Ps	-	-	Ps	Ps	-	-	-	-
LEGR	Lesser Greenlet	Oe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LIWO	Lineated Woodpecker	-	-	-	-	-	-	Ps	Oe	-	Ps	Ps	-	Ps	-	-	Ps	Ps
LIHE	Little Hermit	Oe	Ob	-	Oe	-	-	-	Oe	-	-	Oe	Oe	Oe	-	-	Ob	-
LOWA	Louisiana Waterthrush	-	-	-	Ob	Ob	-	-	-	-	-	-	-	-	-	-	-	-
MATI	Masked Tityra	Ob	Oe	Ps	Ps	-	-	-	-	-	-	Ps	-	Ps	-	Ps	-	Ps
MITY	Mistletoe Tyranulet	-	-	Ob	-	-	Ob	Oe	-	Ps	Oe	-	-	-	-	-	Ps	Oe
MOEL	Mountain elania	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MOWA	Mourning Warbler	-	-	Ob	-	Ob	-	Ob	-	-	Ob	-	-	-	-	-	-	-
NOWA	Northern waterthrush	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
OBFL	Ochre Belied Flycatcher	Ob	-	Ob	Ob	Ob	Ob	Ob	Ob	-	-	-	Ob	Ob	Ob	Ob	Ob	Ob
OLPI	Olivaceous Piculet	Oe	-	Ob	-	-	-	Oe	Oe	Oe	Ps	-	-	-	-	-	-	Ob
OSFL	Olive Streaked Flycatcher	-	-	-	-	Ob	-	-	-	-	-	-	Ob	-	-	-	-	Ob
OBNT	Orange Billed Nigthingdale Thrush	Ps	Ob	Ob	Ob	-	Ob	Ps	Ps	Ob	Ob	-	-	Ob	-	Ps	Ob	Ob
OBSP	Orange Billed Sparrow	Ob	Ob	Ob	Ob	-	-	-	-	-	-	Ob	-	Ob	-	-	-	Ps
OCPA	Orange Chined Parakeet	-	-	Oe	Oe	Ps	-	-	Ps	-	-	Ps	Ps	-	-	-	Ps	-
OCMA	Orange Collared Manakin	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob
OVEN	Ovenbird	-	-	-	Ob	-	Ob	Ob	Ob	Ob	-	-	-	Ob	-	Ob	-	Ob
PABU	Painted Bunting	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PLXE	Plain Xenops	-	-	Oe	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RCAT	Red Crowned Ant Tanager	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-
RCWO	Red Crowned Woodpecker	Oe	-	Oe	Oe	-	-	Ps	-	-	Ps	Oe	-	-	Oe	Ps	Ps	Oe
REVI	Red Eyed Vireo	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RHBA	Red Headed Barbet	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-	-
RLHO	Red Legged Honeycreeper	-	-	-	-	-	Oe	-	-	-	-	-	-	Oe	-	-	-	-
RIKI	Ringed Kingfisher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RIWR	Riverside Wren	Ob	-	-	Ob	Ob	Ps	Oe	Ps	Ps	Ob	Ps	Ob	Ps	Ps	-	-	-
ROHA	Roadside Hawk	-	Ps	-	Ps	Ps	Ps	-	-	-	-	-	Oe	-	Ps	-	-	-
ROBB	Rose Breasted Becard	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
