	DATE	27/08/2007	17/09/2007	26/09/2007	05/10/2007	18/10/2007	02/11/2007	09/11/2007	21/11/2007	27/11/2007	12/7/2007	1/14/2008	1/22/2008	2/1/2008	2/12/2008	03/03/2008	12/03/2008	3/31/2008			
 CODE	SPECIES NAME/PERIOD	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17			
AMRE	American Red Start	-	-	Ob	Ob	Oe	-	-	-	-	-	-	Oe	Oe	Oe	Oe	-	-			
ASTK	American Swift Tailed Kite	-	-	-	-	-	-	-	-	-	-	Ob	Oo	Oo	Oo	Oe	Oo	-			
BAOR	Baltimore Oriole	-	-	-	Oe	Oo	Oe	ps	ps	ps	Ps	Ob	Oe	Oe	Oe	Oe	Oe	Oe			
BANA	Bananaquit	Ob	Ob	Ob	Ob	Oe	Ob	Oe	Ob	-	Ob	Ob	Ob	Ob	Oe	Oe	-	Ob			
BAAN	Barred Antshrike	-	-	-	Ps	Ps	Ob	-	-	Ps	-	Ps	Ps	Ps	Ps	-	Ps	Ps			
BWWA	Black & White Warbler	-	-	Oe	Oe	Oe	Oe	-	-	-	-	Oe	Oe	Ob	Oe	Ob	-	-			
BCTI	Black Capped Tityra	-	-	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-	-			
BSSP	Black Striped Sparrow	Ob	Ps	-	-	Ps	-	-	-	-	-	-	-	Oe	Oe	Ps	-	Ps			
BLVU	Black Vulture	Oo	Oo	Oo	Oo	Oe	Oo	-	Oe	Oe	Oo	Oe	Oo	Oo	Oo	Oo	Oo	-			
BLWA	Blackburnian Warbler	-	-	Oe	-	-	-	Oe	-	-	-	-	-	-	-	-	-	-			
BBGR	Blue Black Grassquit	-	-	Oe	-	-	Ob	Ob	-	-	Ob	-	-	-	-	-	-	Ob			
BCMO	Blue Crowned Motmot	-	-	Ps	Ps	Ps	Ps	-	Oe	-	Ps	Ps	Ps	Ps	Ps	Ps	-	Ob			
BLDA	Blue Dacnis	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-	-	-	-			
BGTA	Blue Gray Tanager	Ps	-	-	Oo	Oe	Oe	Oe	-	Oe	Ob	-	Oe	Oe	Oe	Oe	Oe	Oe			
BGDO	Blue Ground Dove	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-			
BTGO	Blue throated Goldentail	Ob	-	-	-	-	-	-	-	-	-	Ob	-	-	-	Ob	-	-			
BCFL	Bran Collared Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob			
BHPA	Brown Headed Parrot	-	-	-	-	Oe	-	Oe	-	-	Oe	-	Ps	Ps	-	-	-	-			
BRJA	Brown Jay	Ps	Ps	-	Ps	Ps	Ps	-	Ps	Oe	Ps	Ct	Ps	-	Ps	Ps	Ps	Ps			
BVEA	Brown Violet Ear	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-			
BTSA	Buff throated Saltator	Ob	Ps	Ps	Ob	Ob	Ps	Ps	Oe	Oe	Oe	Oe	Oe	Ps	Oe	Ps	-	Ob			
BTWO	Buff Throated woodcreeper	-	-	-	-	-	-	Ps	Ps	-	Ps	-	-	-	-	Ps	-	Ps			
CAWA	Canada Warbler	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
CMTO	Chesnut Mandibled Toucan	-	-	-	Ps	-	Ps	Ps	-	-	Ps	-	-	Ps	-	-	-	-			
CSWA	Chesnut Sided Warbler	-	-	-	Ob	Oe	Oe	Oe	Ob	Oe	Ob	Oe	Ob	Ob	Oe	Oe	Oe	Oe			
CCRO	Clay Colored Robin	Ob	Ob	Ob	Ob	Ob	Ob	Oe	Ps	Ps	Ob	Oe	Oe	Ob	Ob	Ps	Ob	Ob			
CTFL	Common Toddy Flycatcher	-	Ob	-	Oe	-	Ob	-	-	Ob	-	-	-	-	-	-	-	-			
CFPA	Crimson Fronted Parakeet	Oo	Oo	Oe	-	Oe	Oe	Ps	-	Oo	Oe	-	Ps	Ps	Oe	-	-	-			
DCFL	Dusky Caped Flycatcher	-	Ps	Ob	-	Oe	Ps	-	Ps	Ps	Ps	Ob	Ps	-	Ob	Ps	-	-			
FBAR	Fiery Billed Aracary	-	Oe	-	-	Ps	-	-	-	Ps	Ps	Ps	Oe	Ps	Oe	-	-	Ps			
FTEM	Fork tailed Emmerald	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
GOHT	Golden Headed Tanager	Ob	Ps	Oe	Oe	Oe	Ob	Oe	-	-	Ps	-	Oe	Oe	Oe	Ob	-	Oe			
GNWO	Golden Naped Woodpecker	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
GWWA	Golden Winged Warbler	-	-	-	-	-	-	Oe	-	-	-	-	Oe	-	-	-	-	-			
PLCH	Gray Headed Chachalaca	Ps	Ps	-	-	Ps	-	-	Ps	Ps	Ps	-	-	-	-	Ps	-	-			
GHTA	Gray Headed Tanager	-	Ps	-	-	-	-	-	Ob	Ob	Ob	Ob	Ob	Ob	-	-	-	-			
GNWR	Gray Necked Wood Rail	Ps	Oe	-	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	-	-	-	Ps	Ps	Ps			
GCFL	Great Crested Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
GRKI	Great Kiskadee	-	-	Ps	Ps	Ps	Ps	-	Ps	Oe	Ps	Ob	Ps	-	Ps	-	Ps	Ps			
