	DATE	20/08/2007	08/09/2007	21/09/2007	03/10/2007	16/10/2007	25/10/2007	06/11/2007	19/11/2007	28/11/2007	05/12/2007	10/01/2008	18/01/2008	29/01/2008	08/02/2008	20/02/2008	11/03/2008	27/03/2008	04/04/2008		
 CODE	SPECIES NAME/PERIOD	1	2	3	4	5	6	7	8	9	10	11	12	13	14		15	16	17		
ASTK	American Swallow Tailed Kite	-	-	-	-	-	-	-	-	-	-	-	-	Oo	Oo		-	Oo	Oo		
BAOR	Baltimore Oriole	-	-	-	-	-	-	Oe	Ob	Oe	-	-	-	Oe	-		-	-	-		
BANA	Bananaquit	-	-	-	Oe	Ob	Oe	Oe	-	-	-	-	-	-	-		Oe	-	-		
BFFA	Barred Forest Falcon	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-		-	-	-		
BHTA	Bay Headed Tanager	-	Ob	-	-	Ob	-	Oe	-	Oe	Oe	Oe	Ob	-	-		Ob	-	-		
BCHU	Beryl Crowned Hummingbird	-	-	-	-	Oe	Ob	Ob	Ob	-	-	-	-	-	-		Ob	-	Ob		
BIAN	Bicolored Antbird	Ob	-	-	-	-	-	Ob	-	Ob	-	-	-	-	-		-	Ob	-		
BFSO	Black Faced Soltarie	-	-	Ps	Ps	Ob	-	Ob	Ps	Ps	Ps	Ob	Ps	Ps	Oo		Ob	Ps	Ps		
BLGU	Black Guan	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
BHBF	Black Headed Brush Finsh	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
BSSP	Black Striped Sparrow	-	-	-	Ob	-	-	-	-	Ps	-	Oe	-	-	-		Ps	Ps	Ps		
BLVU	Black Vulture	-	Oo	-	-	-	-	Oo	Oo	-	-	Oo	Oo	Oo	Oo		Oo	Oo	Oo		
BLWA	Blackburnian Warbler	-	-	-	Oe	-	-	-	-	-	-	-	-	-	-		-	-	-		
BBGR	Blue Black Grossbeak	-	-	Ps	Ps	-	-	-	-	-	-	-	Ob	-	-		-	-	-		
BCMA	Blue Crowned Manakin	-	Ob	-	-	-	Ob	-	-	-	Ob	-	-	-	Ob		-	-	-		
BLDA	Blue Dancis	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
BTGO	Blue throated Goldentail	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
BRAT	Bright Rumped Atila	-	-	-	-	-	-	-	-	-	Ps	Ps	Ps	Ps	-		Ps	Ob	Ps		
BBSC	Brown Billed Scythebill	-	-	-	-	-	-	-	-	-	-	-	-	-	Oe		Oe	-	-		
BHPA	Brown Headed Parrot	-	Oe	-	-	Oe	Oe	Ps	-	-	-	Ps	Ob	Ps	Oe		Oe	Ps	Oe		
BRJA	Brown Jay	-	-	-	-	-	Ps	-	-	-	-	-	-	-	-		-	Ps	-		
BTFG	Buff Throated Foliage Gleaner	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-		Ob	Ob	-		
BTSA	Buff Throated Saltator	-	-	Ps	-	Ps	-	-	-	Oe	-	-	-	-	Oe		Ob	-	Ps		
BCWP	Buffy Crowned Wood Partridge	-	-	-	-	-	-	-	-	-	-	-	Ps	Ps	-		Ps	-	-		
CSWA	Chesnut Sided Warbler	-	-	-	-	-	-	-	-	-	-	-	-	-	Oe		Oe	-	Oe		
CCBF	Chestnut Capped Brush Finsch	-	-	Ob	-	-	-	-	Ob	-	-	-	-	Ob	-		-	-	Ps		
CCRO	Clay Colored Robin	-	-	-	-	-	-	-	-	-	Ob	-	-	Ps	-		Ps	-	-		
COTR	Collared Trogon	-	-	Ob	-	-	-	-	-	-	Oe	-	-	-	-		-	Ps	Ps		
CBTA	Common Bush Tanager	-	Ob	-	-	Oe	-	-	Ob	Oe	-	Oe	-	Oe	Ps		Ps	-	Ob		
COPA	Common Parauque	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
CTFL	Common Toddy Flycatcher	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
CRGU	Crested Guan	-	-	-	-	-	Oe	Oe	-	-	-	-	-	-	-		-	-	-		
DUAN	Dusky Antbird	-	-	Ob	Ob	-	-	-	-	-	-	Oe	-	-	-		-	-	-		
DCFL	Dusky Capped Flycatcher	-	-	-	-	-	-	Oe	Ps	-	-	-	-	-	-		-	Oe	Ps		
EMTO	Emerald Toucan	-	-	-	-	-	-	-	-	Ps	-	Oe	-	-	-		Oe	-	-		
FBAR	Fiery Billed Aracary	-	-	Ps	Ps	-	-	Ps	-	-	-	-	-	-	-		Ps	-	Ps		
FTEM	Fork Tailed Emmerald	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
GBCH	Golden Browed Chlorophonia	-	-	-	-	-	-	-	-	-	-	-	-	Oe	Oe		-	-	Ps		
GCWA	Golden Crowned Warbler	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-		-	-	-		
GOHT	Golden Hooded Tanager	-	-	-	Ob	Ps	Oe	Oe	Oe	Oe	-	Ps	-	-	Ob		Ps	-	Ob		
GCYE	Gray Crowned Yellow Throat	-	Oe	-	-	-	-	-	-	-	-	-	-	-	-		-	Ob	Ob		
GNWR	Gray Necked Wood Rail	-	Ps	-	Ps	-	-	-	-	Ct	Oe	Oe	Oe	-	-		-	Ps	-		
GBHA	Great Black Hawk	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
GCBR	Green Crowned Brilliant	-	Ob	Ob	Ob	Ob	Oe	Ob	-	-	Ob	Ob	-	Ob	Ps		-	-	Ob		
