"";;DATE;;8/17/2007;;9/6/2007;;9/20/2007;;10/2/2007;;10/15/2007;;10/19/2007;;11/5/2007;;11/15/2007;;11/26/2007;;12/4/2007;;12/11/2007;;1/17/2008;;1/28/2008;;2/7/2008;;2/18/2008;;2/22/2008;;2/28/2008;;3/25/2008;;4/3/2008;;"";;""
 CODE;;SPECIES NAME/Period;;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;20;;""
ASTK;;American Swallow Tailed Kite;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;Oe;;""
BATR;;Bairds Trogon;;-;;-;;-;;-;;-;;Ps;;-;;-;;-;;-;;-;;-;;Ps;;-;;-;;-;;-;;Ps;;-;;-;;""
BAOR;;Baltimore Oriole;;-;;-;;-;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Ob;;Oe;;Oe;;Oe;;Oe;;Ps;;Ps;;Ps;;Ps;;Oe;;""
BANA;;Bananaquit;;Ob;;-;;Ct;;Ct;;Oe;;Oe;;-;;Oe;;-;;Oe;;-;;Oe;;Oe;;Oe;;Oe;;Ob;;Oe;;-;;Oe;;-;;""
BAFA;;Bat Falcon;;-;;-;;-;;-;;-;;-;;Ps;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;""
BHTA;;Bay Headed Tanager;;Oe;;Oe;;Oe;;Ob;;Oe;;Oe;;Oe;;-;;-;;Oe;;-;;Oe;;Oe;;-;;-;;Oe;;Oe;;Oe;;Oe;;-;;""
BCRH;;Beryl Crowned Hummingbird;;-;;Ob;;-;;Ob;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;Ob;;-;;Ob;;-;;-;;-;;""
BIAN;;Bicolored Antbird;;-;;Ob;;-;;Ob;;-;;-;;-;;-;;-;;-;;-;;Oe;;-;;-;;-;;-;;-;;-;;-;;Ps;;""
BWWA;;Black & White Warbler;;-;;-;;Ob;;Oe;;Oe;;-;;Oe;;-;;-;;-;;Ob;;-;;-;;-;;-;;-;;-;;-;;-;;-;;""
BCTI;;Black Capped Tityra;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;Oe;;-;;-;;-;;""
BFAT;;Black Faced Ant thrush;;-;;-;;-;;-;;-;;-;;-;;Ps;;Ps;;-;;-;;Ob;;Ps;;Ob;;-;;-;;-;;-;;Ps;;-;;""
BHAN;;Black Hooded Antshrike;;-;;-;;-;;-;;Oe;;-;;-;;-;;Ob;;Ps;;Ob;;Ob;;Ps;;Ps;;Ps;;Ps;;Ps;;-;;Ps;;-;;""
BSSP;;Black Striped Sparrow;;-;;Ps;;Oe;;-;;Ps;;Ob;;-;;Ps;;Ps;;Oe;;-;;-;;-;;Ps;;Ps;;Ps;;Ps;;Ps;;Ct;;Ct;;""
BTFL;;Black Tailed Flycatcher;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;Ob;;-;;-;;-;;-;;Ob;;-;;""
BTTR;;Black Throated Trogon;;-;;-;;-;;-;;-;;-;;-;;-;;Oe;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;""
BLVU;;Black Vulture;;Oo;;Oe;;Oe;;-;;Oo;;Oo;;Oe;;Oo;;Oo;;Oo;;-;;Oo;;Oe;;-;;Oo;;Oo;;Oe;;Oe;;Oo;;Oo;;""
BLWA;;Blackburnian Warbler;;-;;-;;-;;-;;Ob;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;""
BBGR;;Blue Black Grossbeak;;-;;Ps;;-;;Ob;;-;;-;;-;;-;;-;;-;;-;;-;;Ps;;-;;-;;-;;-;;-;;Oe;;Ob;;""
BCMA;;Blue Crowned Manakin;;-;;Oe;;-;;-;;-;;Ob;;Ob;;-;;-;;-;;-;;-;;-;;-;;-;;Ob;;-;;-;;-;;-;;""
BCMO;;Blue Crowned Motmot;;-;;-;;Ps;;Ps;;Ps;;Ps;;-;;-;;-;;Oe;;-;;Ps;;-;;Ps;;Ps;;Ps;;Ps;;Ps;;-;;Ps;;""
BLDA;;Blue Dancis;;-;;-;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;-;;Oe;;Oe;;Oe;;-;;Oe;;-;;-;;-;;-;;""
BGTA;;Blue Gray Tanager;;Ob;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Ob;;Ob;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;Oe;;""
BGDO;;Blue Ground Dove;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;""
BTGO;;Blue Throated Goldentail;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;Ob;;-;;-;;""
BRAT;;Bright Rumped Atila;;-;;-;;-;;-;;-;;-;;-;;-;;-;;Ob;;-;;-;;-;;Ps;;Ps;;-;;Ps;;Ps;;Ps;;Ps;;""
BWHA;;Broad Wing Hawk;;-;;-;;-;;-;;Oe;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;Ps;;-;;""
BRHE;;Bronzy Hermit;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;""
BCVI;;Brown Capped Vireo;;-;;-;;-;;-;;-;;-;;-;;-;;Ob;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;""
BHPA;;Brown Headed Parrot;;-;;-;;-;;-;;Oe;;Ps;;Ps;;-;;Ps;;-;;-;;-;;Oe;;-;;-;;-;;-;;-;;-;;-;;""
BRJA;;Brown Jay;;-;;-;;-;;-;;Ps;;Ps;;-;;Ps;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;""
BTFG;;Buff Throated Foliage Gleaner;;-;;-;;-;;-;;-;;Ob;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;Ob;;Ob;;""
