"POSTAL_CODE","RANK","SCORE","DWELLINGS TOTAL","ACCUM. DWELLINGS","PT_DOG_%","PT_DOG_#","HHI over $100,000_%","HHI over $100,000_#"
M5M2E3,1,194,6,6,29.32,2,91.59,5
M5M3K9,2,194,9,15,29.32,3,91.56,8
M5M2E1,3,194,36,51,29.32,11,91.56,33
M5M2A9,4,194,37,88,29.32,11,91.56,34
M5M2E4,5,194,4,92,29.32,1,91.55,4
M5M2E2,6,194,5,97,29.32,1,91.54,5
M5M3P3,7,193,2,99,29.32,1,91.52,2
L3T3B7,8,191,4,103,26.83,1,99.89,4
L3T3S1,9,191,8,111,26.83,2,99.89,8
L3T3T9,10,191,7,118,26.83,2,99.88,7
L3T3T4,11,191,25,143,26.83,7,99.88,25
L3T3B6,12,191,21,164,26.83,6,99.88,21
L3T3T3,13,191,22,186,26.83,6,99.88,22
M5M3P4,14,191,9,195,28.87,3,90.81,8
M5M3N1,15,191,10,205,28.75,3,90.97,9
M5M3M9,16,190,12,217,28.58,3,90.80,11
M5M2S8,17,190,12,229,28.57,3,90.79,11
M5M3P6,18,186,1,230,27.65,0,89.86,1
M5M2T3,19,186,3,233,27.66,1,89.81,3
M5M2K4,20,186,10,243,27.65,3,89.83,9
M5M2T5,21,186,5,248,27.65,1,89.83,4
M5M3P9,22,186,5,253,27.65,1,89.83,4
M5M2L9,23,186,4,257,27.65,1,89.83,4
M5M3P8,24,186,6,263,27.65,2,89.83,5
M5M3R2,25,186,7,270,27.65,2,89.83,6
M5M2R3,26,186,3,273,27.65,1,89.83,3
M5M2M1,27,186,12,285,27.65,3,89.83,11
M5M2N6,28,186,12,297,27.65,3,89.82,11
M5M2S9,29,186,3,300,27.65,1,89.82,3
M5M2K2,30,186,7,307,27.65,2,89.82,6
M5M2J9,31,186,15,322,27.65,4,89.82,13
M5M2L8,32,186,7,329,27.65,2,89.81,6
M3A1P2,33,186,2,331,28.59,1,85.74,2
M5M2M2,34,186,9,340,27.65,2,89.81,8
M3A2K4,35,186,4,344,28.59,1,85.73,3
M3A2K6,36,186,9,353,28.59,3,85.72,8
M3A1P7,37,186,8,361,28.59,2,85.72,7
M3A1P6,38,186,19,380,28.59,5,85.72,16
M3A2L8,39,186,22,402,28.59,6,85.72,19
M3A1T4,40,186,24,426,28.59,7,85.71,21
M3A1R9,41,186,18,444,28.59,5,85.71,15
M3A1P5,42,186,9,453,28.59,3,85.71,8
M3A2M3,43,186,8,461,28.59,2,85.71,7
M3A2K3,44,186,4,465,28.59,1,85.71,3
M3A1S1,45,186,10,475,28.59,3,85.71,9
M3A2M9,46,186,1,476,28.59,0,85.69,1
M5M2K1,47,186,1,477,27.65,0,89.76,1
M5M3P7,48,186,1,478,27.65,0,89.76,1
M5M0A7,49,184,1,479,35.58,0,53.49,1
M4P2N3,50,184,3,482,28.13,1,85.68,3
M4P2K2,51,184,7,489,28.13,2,85.66,6
M4N1A5,52,184,26,515,28.13,7,85.66,22
M4P2B5,53,184,31,546,28.13,9,85.66,27
M4P2C2,54,184,25,571,28.13,7,85.65,21
M4P2B6,55,184,22,593,28.13,6,85.65,19
M4P2B9,56,184,37,630,28.13,10,85.65,32
M4P2C4,57,184,18,648,28.13,5,85.65,15
M4P2M7,58,184,4,652,28.13,1,85.64,3
M4P2M6,59,184,1,653,28.89,0,82.18,1
M4N2R2,60,183,7,660,24.75,2,100.00,7
M4N1K3,61,183,8,668,24.75,2,100.00,8
M4N1K4,62,183,9,677,24.75,2,100.00,9
M4N1J9,63,183,5,682,24.75,1,100.00,5
M4N1H2,64,183,8,690,24.75,2,100.00,8
M4N1K2,65,183,2,692,24.75,0,100.00,2
M4N1L7,66,183,4,696,24.75,1,100.00,4
M4N1H3,67,183,9,705,24.75,2,100.00,9
M4N2R3,68,183,7,712,24.75,2,100.00,7
M4N1E8,69,183,10,722,24.75,2,100.00,10
M4N1H4,70,183,7,729,24.75,2,100.00,7
M4N1K1,71,183,15,744,24.75,4,100.00,15
M4N2S7,72,183,2,746,24.75,0,100.00,2
M4N1H1,73,183,20,766,24.75,5,100.00,20
M4N1G2,74,183,9,775,24.75,2,100.00,9
M4N1L9,75,183,6,781,24.75,1,100.00,6
M4N1L4,76,183,8,789,24.75,2,100.00,8
M4N2T4,77,183,2,791,24.75,0,100.00,2
M4N2P6,78,183,3,794,24.74,1,100.00,3
M4N2S6,79,183,3,797,24.74,1,100.00,3
M4N2T3,80,183,3,800,24.74,1,100.00,3
M6C1Z3,81,182,1,801,27.65,0,85.55,1
M6C3J1,82,182,16,817,27.65,4,85.47,14
M6C3J2,83,182,20,837,27.65,6,85.47,17
M9C3V8,84,182,3,840,28.74,1,80.74,2
M6C3J6,85,182,18,858,27.65,5,85.47,15
M9C3V5,86,182,6,864,28.74,2,80.70,5
M9C4H2,87,182,16,880,28.74,5,80.70,13
M6C3G7,88,182,1,881,27.65,0,85.42,1
